新聞live,#genre#
TVBS新聞,https://www.youtube.com/live/m_dhMSvUCIc
TVBS選新聞,https://www.youtube.com/live/w1zClUN04Do
TVBS地震,https://www.youtube.com/live/0eOhU2J_MXE
民視新聞,https://www.youtube.com/live/ylYJSBUgaMA
三立新聞,https://www.youtube.com/live/MV9mI0GChwo
三立財經,https://www.youtube.com/live/1mbhK0xfohY
中天新聞,https://www.youtube.com/live/vr3XyVCR4T0
中天深喉嚨,https://www.youtube.com/watch?v=DM_PEM8GrIg
東森新聞,https://www.youtube.com/live/V1p33hqPrUk
EBC東森財經,https://www.youtube.com/live/1I2iq41Akmo
華視新聞,https://www.youtube.com/live/wM0g8EoUZ_E
中視新聞,https://www.youtube.com/live/TCnaIE_SAtM
台視新聞,https://www.youtube.com/live/xL0ch83RAK8
寰宇新聞,https://www.youtube.com/live/6IquAgfvYmc
寰宇新聞台灣台,https://www.youtube.com/live/w87VGpgd90U
鏡新聞,https://www.youtube.com/live/5n0y6b0Q25o
公視新聞,https://www.youtube.com/live/quwqlazU-c8
公共電視,https://www.youtube.com/live/C6gYqSHLRw4
NBC NEW,https://www.youtube.com/live/28wlObFCQrE
CNN NEW,https://www.youtube.com/live/YDfiTGGPYCk
CCTV新聞,https://www.youtube.com/live/SdzewdkJa-o
NHK新聞,https://www.youtube.com/live/f0lYkdA-Gtw
新聞watch,#genre#
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS選新聞,https://www.youtube.com/watch?v=w1zClUN04Do
TVBS地震,https://www.youtube.com/watch?v=0eOhU2J_MXE
民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立新聞,https://www.youtube.com/watch?v=MV9mI0GChwo
三立財經,https://www.youtube.com/watch?v=1mbhK0xfohY
中天新聞,https://www.youtube.com/watch?v=vr3XyVCR4T0
中天深喉嚨,https://www.youtube.com/watch?v=DM_PEM8GrIg
東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
EBC東森財經,https://www.youtube.com/watch?v=1I2iq41Akmo
華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
台視新聞,https://www.youtube.com/watch?v=xL0ch83RAK8
寰宇新聞,https://www.youtube.com/watch?v=6IquAgfvYmc
寰宇新聞台灣台,https://www.youtube.com/watch?v=w87VGpgd90U
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
公共電視,https://www.youtube.com/watch?v=C6gYqSHLRw4
NBC NEW,https://www.youtube.com/watch?v=28wlObFCQrE
CNN NEW,https://www.youtube.com/watch?v=YDfiTGGPYCk
CCTV新聞,https://www.youtube.com/watch?v=SdzewdkJa-o
NHK新聞,https://www.youtube.com/watch?v=f0lYkdA-Gtw
影視綜藝,#genre#
大愛,https://www.youtube.com/watch?v=MIqUplvSRWA
大愛2,https://www.youtube.com/watch?v=DTNkEm6jaqQ
中視綜藝,https://www.youtube.com/watch?v=ADDSmXoPDY8
中视戲劇,https://www.youtube.com/watch?v=jkF7cseHZ5s
中視經典,https://www.youtube.com/watch?v=vdGQsHqYvlo
民視戲劇,https://www.youtube.com/watch?v=6CQZxYpW9q4
民视戲劇,https://www.youtube.com/watch?v=rTcTVZBZtYs
民視戏劇,https://www.youtube.com/watch?v=032kEdR9Lic
綜藝大熱門,https://www.youtube.com/watch?v=cpsP1wd-HgM
台視時光,https://www.youtube.com/watch?v=MEdYt10b2mc
三立電視,https://www.youtube.com/watch?v=0EgZW36EUZw
意難忘,https://www.youtube.com/watch?v=sdtaF2gH9gc
親戚不計較,https://www.youtube.com/watch?v=GjXBXz5dl6E
恶作剧之吻,https://www.youtube.com/watch?v=6lKL5znyZkc
現代嘉慶君,https://www.youtube.com/watch?v=E-SNFemPCrQ
天才衝衝衝,https://www.youtube.com/watch?v=QUcOMgw4srY
台灣靈異,https://www.youtube.com/watch?v=Nnpig_Lis9w
包青天,https://www.youtube.com/watch?v=UYWdZPJ_00U
男女对唱,https://www.youtube.com/watch?v=W3Axy3nJUgU  
男女對唱,https://www.youtube.com/watch?v=Q_BYTfKF2Zc
男女对唱°,https://www.youtube.com/watch?v=DYx6elXyQJ4
野外求生01,#genre#
《互為貴人》第1季（01-04）合集,https://www.youtube.com/watch?v=6lvo0XGhpLA
《互為貴人》第2季（05-09）合集,https://www.youtube.com/watch?v=sXpsNdI29AQ
《互為貴人》第3季（10-14）合集,https://www.youtube.com/watch?v=OMAW98Vzojs
《互為貴人》第4季（15-19）合集,https://www.youtube.com/watch?v=Y_9An_OQtbs
《互為貴人》第5季（20-24）合集,https://www.youtube.com/watch?v=r25lDfXQd-Q
《互為貴人》第6季（25-30）合集,https://www.youtube.com/watch?v=Wxvklk9aqKA
《互為貴人》第7季（31-34）合集,https://www.youtube.com/watch?v=U0FvvzygsUE
《互為貴人》第8季（35-38）合集,https://www.youtube.com/watch?v=fBvXa0zSCvU
《互為貴人》第9季（39-42）合集,https://www.youtube.com/watch?v=ww0pehCv_VQ
《休閒時刻》01,https://www.youtube.com/watch?v=KlH8UR1aOZI
《努力的女人》第1季（01-05）合集,https://www.youtube.com/watch?v=qveuR9BFJPQ
《努力的女人》第2季（06-10）合集,https://www.youtube.com/watch?v=nxKgV4wgBAo
《努力的女人》第3季（11-15）合集,https://www.youtube.com/watch?v=Zbh4qd-6w0Q
《努力的女人》第4季（16-20）合集,https://www.youtube.com/watch?v=ZnWC4Iu9_6Q
《努力的女人》第5季（21-24）合集,https://www.youtube.com/watch?v=GBWtgWvu6zw
《努力的女人》第6季（25-29）合集,https://www.youtube.com/watch?v=iqEyCpJK-Kc
《努力的女人》第7季（30-34）合集,https://www.youtube.com/watch?v=BUNkCcfZZB0
《努力的女人》第8季（35-40）合集,https://www.youtube.com/watch?v=9i8ztl35LwY
《半隱生活》女人一旦認真起來究竟有多可怕,https://www.youtube.com/watch?v=d5vER7waLLk
《夢想的野外生活》完結篇,https://www.youtube.com/watch?v=72bV9oSklCA
《女人一片天》第1季 完結篇,https://www.youtube.com/watch?v=FANuc7pShNw
《女人一片天》第2季 完結篇,https://www.youtube.com/watch?v=iKEwnBmuVpg
《女人一片天》第3季 完結篇,https://www.youtube.com/watch?v=4Ql01ZXx3MA
《女人一片天》第4季 完結篇,https://www.youtube.com/watch?v=7j2-EShnTm4
《女人一片天》第5季 完結篇,https://www.youtube.com/watch?v=J5wbRnjg1yk
《女人一片天》第6季,https://www.youtube.com/watch?v=y0l-NZyXnTU
《女人一片天》第7季 完結篇（107-118）,https://www.youtube.com/watch?v=cCV5Dgqssnc
《女人一片天》第8季,https://www.youtube.com/watch?v=OtJtdmbVtvw
《女人一片天》第9季 完結篇,https://www.youtube.com/watch?v=IMVedFfqr3Q
《女人一片天》第10季 完結篇,https://www.youtube.com/watch?v=Em6jTq2FAis
