台湾綜合其他,#genre#
民視第一台,http://211.23.125.95:50007/4gtv-4gtv003/index.m3u8?proxy=true
民視第一台,http://211.23.125.95:50007/li-4gtv-4gtv003/index.m3u8?proxy=true
民視台灣台,http://211.23.125.95:50007/4gtv-4gtv001/index.m3u8?proxy=true
民視台灣台,http://211.23.125.95:50007/li-4gtv-4gtv001/index.m3u8?proxy=true
民視HD,http://211.23.125.95:50007/4gtv-4gtv002/index.m3u8?proxy=true
台視HD,http://211.23.125.95:50007/li-4gtv-4gtv066/index.m3u8?proxy=true
台視HD,http://211.23.125.95:50007/4gtv-4gtv066/index.m3u8?proxy=true
大愛電視,http://211.23.125.95:50007/4gtv-live007/index.m3u8?proxy=true
中視,http://211.23.125.95:50007/4gtv-4gtv040/index.m3u8?proxy=true
中視,http://211.23.125.95:50007/li-4gtv-4gtv040/index.m3u8?proxy=true
中視,http://211.23.125.95:50007/of-4gtv-4gtv040/index.m3u8?proxy=true
华視,http://211.23.125.95:50007/4gtv-4gtv041/index.m3u8?proxy=true
华視,http://211.23.125.95:50007/li-4gtv-4gtv041/index.m3u8?proxy=true
华視,http://211.23.125.95:50007/of-4gtv-4gtv041/index.m3u8?proxy=true
三立綜合合,http://211.23.125.95:50007/4gtv-live207/index.m3u8?proxy=true
客家電視,http://211.23.125.95:50007/4gtv-4gtv043/index.m3u8?proxy=true
客家電視,http://211.23.125.95:50007/li-4gtv-4gtv043/index.m3u8?proxy=true
中視菁采台,http://211.23.125.95:50007/4gtv-4gtv064/index.m3u8?proxy=true
中視菁采台,http://211.23.125.95:50007/li-4gtv-4gtv064/index.m3u8?proxy=true
靖天綜合,http://211.23.125.95:50007/4gtv-4gtv046/index.m3u8?proxy=true
靖天綜合,http://211.23.125.95:50007/li-4gtv-4gtv046/index.m3u8?proxy=true
靖天日本,http://211.23.125.95:50007/4gtv-4gtv047/index.m3u8?proxy=true
靖天日本,http://211.23.125.95:50007/li-4gtv-4gtv047/index.m3u8?proxy=true
新唐人亞太台,http://211.23.125.95:50007/4gtv-live050/index.m3u8?proxy=true
Arirang TV,http://211.23.125.95:50007/4gtv-4gtv079/index.m3u8?proxy=true
Arirang TV,http://211.23.125.95:50007/li-4gtv-4gtv079/index.m3u8?proxy=true
原住民族電視台,http://211.23.125.95:50007/4gtv-live014/index.m3u8?proxy=true
東森購物四台,http://211.23.125.95:50007/4gtv-live049/index.m3u8?proxy=true
東森購物一台,http://211.23.125.95:50007/4gtv-live047/index.m3u8?proxy=true
東森購物一台,http://211.23.125.95:50007/4gtv-4gtv102/index.m3u8?proxy=true
東森購物一台,http://211.23.125.95:50007/of-4gtv-4gtv102/index.m3u8?proxy=true
東森購物二台,http://211.23.125.95:50007/4gtv-live046/index.m3u8?proxy=true
東森購物二台,http://211.23.125.95:50007/4gtv-4gtv103/index.m3u8?proxy=true
東森購物二台,http://211.23.125.95:50007/of-4gtv-4gtv103/index.m3u8?proxy=true
東森購物三台,http://211.23.125.95:50007/4gtv-live048/index.m3u8?proxy=true
靖天育樂,http://211.23.125.95:50007/4gtv-4gtv062/index.m3u8?proxy=true
靖天育樂,http://211.23.125.95:50007/li-4gtv-4gtv062/index.m3u8?proxy=true
靖天國際,http://211.23.125.95:50007/4gtv-4gtv063/index.m3u8?proxy=true
靖天國際,http://211.23.125.95:50007/li-4gtv-4gtv063/index.m3u8?proxy=true
靖天歡樂,http://211.23.125.95:50007/4gtv-4gtv054/index.m3u8?proxy=true
靖天歡樂,http://211.23.125.95:50007/li-4gtv-4gtv054/index.m3u8?proxy=true
靖天資訊,http://211.23.125.95:50007/4gtv-4gtv065/index.m3u8?proxy=true
靖天資訊,http://211.23.125.95:50007/li-4gtv-4gtv065/index.m3u8?proxy=true
韓國娛樂台,http://211.23.125.95:50007/4gtv-4gtv016/index.m3u8?proxy=true
